Due_By,Priority,Bid_Sent,Bid_Sender,Bid_Sender_Num,Bid_Num,Time,Job_Name,File,Status,Job_Num,General_Contractor,Addendum,Remarks,EST,WT,TE,MBE,%,Results
1-Jun,,,,,18-330,,101 S Charles Street,#NAME?,,,Schaefer Contracting,,,,,,,,
1-Jun,,,,,18-306,11:30:00 A.M.,Additive Manufacturing Expansion,#NAME?,,180082,Lewis Contractors,,,DS KE,,,,,Awarded
1-Jun,,,,,18-306,2:00:00 P.M.,Additive Manufacturing Expansion,#NAME?,,,Manekin,,,,,,,,Not Awarded
1-Jun,,,,,18-306,3:00:00 P.M.,Additive Manufacturing Expansion,#NAME?,,,North Point Builders,,,,,,,,Not Awarded
1-Jun,,,,,18-337,5:00:00 P.M.,Auto Zone Owings Mills,#NAME?,,,Visible Construction,,,,,,,,
4-Jun,,,,,18-315,,MSA Warehouse Elevator Moderniztion,#NAME?,,,"J. Vinton Schafer & Sons, Inc",,,,,,,,
4-Jun,,,,,18-325,4:00:00 P.M.,The Mount,#NAME?,,,Trionfo Builders Group,,go over,,,,,,
5-Jun,A,,,,18-360,,1812 Rutland Avenue,#NAME?,,,"Shade Construction, Inc",,,,,,,,
5-Jun,,,,,18-340,10:00:00 A.M.,AT& T Hanover building,#NAME?,,,G & I Drywall,,,,,,,,
5-Jun,,,,,18-336,5:00:00 P.M.,JHU Clark 101,#NAME?,,,Plano-Coudon LLC,yes,,,,,,,
6-Jun,,,,,18-349,,ASC Renovation 2,#NAME?,,,Haris Design,,,DS,,,,,
7-Jun,,,,,18-355,,Airport Square Housekeeping Pad,#NAME?,,,RJK Construction,,,CB,,,,,
7-Jun,,,,,18-341,10:00:00 A.M.,charlestown classroom 216,#NAME?,,,"Shade Construction, Inc",,,,,,,,
7-Jun,,,,,18-336,,JHU Clark Hall,#NAME?,,,"Jeffrey Brown Contracting, LLC",yes,,,,,,,
7-Jun,,,,,18-336,,JHU Clark Hall,#NAME?,,,Lyons Construction,,,,,,,,
8-Jun,,,,,18-346,1:00:00 P.M.,NG Sykesville Facility Manufacturing Cell 5,#NAME?,,180078,Manekin,,,,,,,,Awarded
8-Jun,,,,,18-352,,Landon House Parcel E,#NAME?,,,"Riparius Construction, Inc",,,,,,,,
8-Jun,No Bid,,,,18-348,5:00:00 P.M.,Patapsco State Park Shower Bldg Renovation,#NAME?,,,"Jeffrey Brown Contracting, LLC",,JB no longer bidding,DS KE,,,,,
11-Jun,,Yes,,,18-317,2:00:00 P.M.,Orthopaedic COE 4th Floor Foot & Ankle Renov,#NAME?,,180084,"Shade Construction, Inc",yes/RFI,,,5/24 1:00:00 P.M.,,,,Awarded
11-Jun,,,,,18-317,,Orthopaedic COE 4th Floor Foot & Ankle Renov,#NAME?,,,Whiting-Turner Contracting,yes/RFI,,,,,,,Not Awarded
11-Jun,,,,,18-342,2:00:00 P.M.,Vasular surgery,#NAME?,,180088,"Riparius Construction, Inc",,,,6/4 2:00:00 P.M.,,,,Awarded
12-Jun,,,,,18-353,,Aberdeen Bldg 1103A - New Design Build Project,#NAME?,,,Palmer Contracting Group LLC,,have on Chris's desk by 6/11,DS KE,,,,,
12-Jun,,,,,18-364,,Bayview Kitchen,#NAME?,,180077,"Strayer Contracting, Inc",,,,,,,,Awarded
12-Jun,,,,,18-351,3:00:00 P.M.,HC Fire & Rescue Services,#NAME?,,,Plano-Coudon LLC,,,,,,,,
13-Jun,,,,,18-370,,"15.2 Repair Recondition SOA 261936 Napa, CA",#NAME?,,,General Dynamics,,,JB,,,,,
13-Jun,,,,,18-358,,New Connector Bldg,#NAME?,,,Webcon Construction Company,,,,,,,,
13-Jun,,,,,18-345,10:00:00 A.M.,surgery center of north Baltimore,#NAME?,,,CMSI,yes,,,6/5 11:00:00 A.M.,,,,
14-Jun,No Bid,No,,,18-329,,101 York Rd DEMO,#NAME?,,,Kinsley Construction,,abatement/site work,,6/1/22 11:30,,,,
14-Jun,,Yes,,,18-327,5:00:00 P.M.,Grace Lavatories & Pantry,#NAME?,,,"Riparius Construction, Inc",yes,,,5/22 10:00:00 A.M.,,,,
14-Jun,,,,,18-361,5:00:00 P.M.,MCPS Gaithersburg MS,#NAME?,,,Plano-Coudon LLC,yes,MBE Form,,,,,,
14-Jun,,,,,18-354,,Lidl Office Demo,#NAME?,,,Lidl US LLC,,,KE,,,,,
14-Jun,,,,,18-376,,ZB NICU Expansion,#NAME?,,,Mackenzie Contracting,,,KE,6/7 11:30:00 A.M.,,,,Not Awarded
15-Jun,,,,,18-346,9:00:00 A.M.,NG Sykesville Facility Manufacturing Cell 5,#NAME?,,,Lewis Contractors,,,,,,,,
15-Jun,,,,,18-346,,NG Sykesville Facility Manufacturing Cell 5,#NAME?,,,CK Commerical,,,,,,,,
15-Jun,,,,,18-338,12:00:00 P.M.,Silver Branch Brewing Company,#NAME?,,,"Scott Long Construction, Inc.",yes,,DS KE,5/29 10:00:00 A.M.,,,,
15-Jun,B,,,,18-363,,Towson Commons Lobby,#NAME?,,,Performance Construction,,,,,,,,
15-Jun,,,,,18-376,,ZB NICU Expansion,#NAME?,,180090,"Jeffrey Brown Contracting, LLC",,,KE,,Yes,,,Awarded
19-Jun,,,,,18-380,,Communications Room Project,#NAME?,,,Whiting-Turner Contracting,,,KE,,,,,
19-Jun,,,,,18-383,1:00:00 P.M.,Gambrill State Park,#NAME?,,,Harris Corporation,,,DS,,,,,
19-Jun,,,,,18-384,,NG Sykesville Fence Repairs & Tree Removal 412,#NAME?,,,Supreme Maintenance,,,,,,,,
19-Jun,,,,,18-362,4:00:00 P.M.,Training House Gym DEMO,#NAME?,,,"Jeffrey Brown Contracting, LLC",yes,,KE,6/12 2:30:00 P.M.,,,,
19-Jun,,,,,18-367,,GBMC Chapman Bldg Paving,#NAME?,,180076,"Metropolitan Builders, Inc",,,CB,,,,,Awarded
20-Jun,,,,,18-371,10:00:00 A.M.,Clark's Hardware,#NAME?,,,Rocchi Construction,,,,,,,,
20-Jun,,,,,18-356,2:00:00 P.M.,COPT ACOE,#NAME?,,,Plano-Coudon LLC,,,,,,,,
21-Jun,,,,,18-372,11:00:00 A.M.,Creative Alliance Education Center,#NAME?,,,Lewis Contractors,,,DS,,,,,
21-Jun,,,,,18-378,1:00:00 P.M.,Harry Grove Stadium Storage Bldg,#NAME?,,,Harris Corporation,,,DS,,,,,
21-Jun,,,,,18-343,4:00:00 P.M.,kidde academy Wheel Road,#NAME?,,,"Riparius Construction, Inc",yes,,,6/4 3:00:00 P.M.,,,,
21-Jun,,,,,18-321,12:00:00 P.M.,Old St Paul's Rectory,#NAME?,,,Lewis Contractors,yes,,DS KE,,,,,
21-Jun,,,,,18-321,,Old St Paul's Rectory,#NAME?,,,"AR Marani, Inc",yes,,DS KE,,,,,
22-Jun,,,,,18-389,12:00:00 P.M.,At Home Gaithersburg #201,#NAME?,,,Parkway Construction,,,DS,,,,,
22-Jun,,,,,18-388,2:00:00 P.M.,Bauer Park Apts,#NAME?,,,"CBP Constructors, LLC",,,KE,,,,,
22-Jun,,,,,18-374,,GSA/USSS Bldg 411 Renovation,#NAME?,,,"Puente Costcon JV, LLC",,,,,,,,
25-Jun,,,,,18-400,,16.4 Antenna Hawaii Repairs,#NAME?,,,General Dynamics,,,,,,,,
25-Jun,,,,,18-373,12:00:00 P.M.,Concourse Drive 3rd Floor,#NAME?,,180091,RJK Construction,yes,,KE,anytime,No,,,Awarded
25-Jun,,,,,18-373,9:00:00 A.M.,Concourse Drive 3rd Floor,#NAME?,,,Lewis Contractors,,,KE,,,,,Not Awarded
25-Jun,,,,,18-373,,Concourse Drive 3rd Floor,#NAME?,,,Manekin,,,KE,,,,,Not Awarded
25-Jun,,,,,18-344,5:00:00 P.M.,Elkton Family Dollar,#NAME?,,,RE Crawford Construction,,JOB CANCELLED,DS KE,,,,,
25-Jun,,,,,18-404,11:00:00 A.M.,JHH Brady Bldg,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,,,,,,
25-Jun,,,,,18-385,,Levindale Kitchen,#NAME?,,,"Shade Construction, Inc",,,,,,,,
25-Jun,,,,,18-391,,Sacred Heart Convent,#NAME?,,,Urban Built,,,,,,,,
26-Jun,,,,,18-390,2:00:00 P.M.,NG J010-J019,#NAME?,,,Lewis Contractors,yes,,,,,,,
26-Jun,,,,,18-357,12:00:00 A.M.,UMB Demo 114-122 N Green Street Properties,#NAME?,,,Brawner Builders,yes,prevailing wage,,,,,,
27-Jun,,,,,18-406,,3 Tralawney Court,#NAME?,,180092,Herb Schafer Asphalt Pavement,,,CB,,No,,,Awarded
27-Jun,,,,,18-401,,Pimlico Parking Upgrades,#NAME?,,,Prosys Contracting,,,CB,,,,,
27-Jun,,,,,18-375,5:00:00 P.M.,UMB Saratoga Garage 13th & 14th Floor Office Renovation,#NAME?,,,"Jeffrey Brown Contracting, LLC",yes,,DS KE,,,,,
28-Jun,,,,,18-379,4:30:00 P.M.,A Coyote Manufacturing,#NAME?,,,"KasCon, Inc",yes,,,6/20 11:00:00 A.M.,,,,
28-Jun,,,,,18-405,,Columbia Association Training Area,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,,,,,,
28-Jun,,,,,18-415,,Shannon Dr Ramp Access,#NAME?,,,Merrit Properties,,,CB,,,,,
28-Jun,,,,,18-338,12:00:00 P.M.,Silver Branch Brewing Company,#NAME?,,,"KasCon, Inc",yes,,DS KE,6/12 2:00:00 P.M.     6/15 830am,,,,
28-Jun,,,,,18-413,10:00:00 A.M.,Sysmex Inostics,#NAME?,,,"Shade Construction, Inc",,,,,,,,
