,params,mean_test_PRECISION,rank_test_PRECISION,mean_test_F1,rank_test_F1,mean_test_RECALL,rank_test_RECALL
0,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 1, 'max_depth': 6, 'max_delta_step': 0, 'grow_policy': 'depthwise', 'gamma': 0, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.8076416337285902,73,0.7520302694721299,109,0.7333333333333334,388
1,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 10, 'max_depth': 6, 'max_delta_step': 0, 'grow_policy': 'depthwise', 'gamma': 0, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.5128205128205128,145,0.6779661016949152,145,1.0,1
2,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 100, 'max_depth': 6, 'max_delta_step': 0, 'grow_policy': 'depthwise', 'gamma': 0, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.0,433,0.0,433,0.0,433
3,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 1, 'max_depth': 100, 'max_delta_step': 0, 'grow_policy': 'depthwise', 'gamma': 0, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.8076416337285902,73,0.7520302694721299,109,0.7333333333333334,388
4,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 10, 'max_depth': 100, 'max_delta_step': 0, 'grow_policy': 'depthwise', 'gamma': 0, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.5128205128205128,145,0.6779661016949152,145,1.0,1
5,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 100, 'max_depth': 100, 'max_delta_step': 0, 'grow_policy': 'depthwise', 'gamma': 0, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.0,433,0.0,433,0.0,433
6,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 1, 'max_depth': 500, 'max_delta_step': 0, 'grow_policy': 'depthwise', 'gamma': 0, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.8076416337285902,73,0.7520302694721299,109,0.7333333333333334,388
7,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 10, 'max_depth': 500, 'max_delta_step': 0, 'grow_policy': 'depthwise', 'gamma': 0, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.5128205128205128,145,0.6779661016949152,145,1.0,1
8,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 100, 'max_depth': 500, 'max_delta_step': 0, 'grow_policy': 'depthwise', 'gamma': 0, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.0,433,0.0,433,0.0,433
9,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 1, 'max_depth': 6, 'max_delta_step': 5, 'grow_policy': 'depthwise', 'gamma': 0, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.8076416337285902,73,0.7520302694721299,109,0.7333333333333334,388
